fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,confianza_matrícula,mx1,my1,mx2,my2,texto_matricula
33,car,0.48,5,970,552,1043,634,,,,,,
33,car,0.47,3,619,556,676,641,,,,,,
33,car,0.28,3,656,530,707,570,,,,,,
34,car,0.87,4,1144,509,1483,790,,,,,,
34,car,0.86,2,335,579,568,745,,,,,,
34,car,0.81,5,1027,547,1166,663,,,,,,
34,car,0.81,1,705,526,975,796,,,,,,
34,car,0.7,7,503,549,645,670,,,,,,
34,car,0.5,5,974,548,1050,636,,,,,,
34,car,0.49,0,1869,833,1919,1074,,,,,,
34,car,0.46,3,624,557,677,642,,,,,,
34,car,0.34,3,659,530,709,569,,,,,,
35,car,0.88,4,1147,506,1493,792,,,,,,
35,car,0.87,2,338,579,571,743,,,,,,
35,car,0.82,1,706,525,978,793,,,,,,
35,car,0.82,5,1027,544,1169,663,,,,,,
35,car,0.74,7,504,549,642,673,,,,,,
35,car,0.57,5,976,548,1057,641,,,,,,
35,car,0.41,3,629,558,677,641,,,,,,
35,car,0.32,3,662,529,710,571,,,,,,
36,car,0.88,4,1154,503,1504,797,,,,,,
36,car,0.87,2,340,579,573,743,,,,,,
36,car,0.86,5,1031,546,1172,663,,,,,,
36,car,0.81,1,708,525,980,794,,,,,,
36,car,0.79,7,505,549,642,673,,,,,,
36,car,0.62,5,979,548,1064,640,,,,,,
36,car,0.35,3,635,558,678,641,,,,,,
36,car,0.29,3,662,527,710,569,,,,,,
37,car,0.9,4,1156,501,1514,799,,,,,,
37,car,0.88,2,340,577,575,741,,,,,,
37,car,0.83,1,707,526,980,795,,,,,,
37,car,0.82,5,1031,543,1178,663,,,,,,
37,car,0.8,7,505,549,641,673,,,,,,
37,car,0.63,5,981,550,1062,640,,,,,,
37,car,0.42,3,631,557,678,641,,,,,,
37,car,0.34,3,661,527,711,569,,,,,,
38,car,0.87,5,1032,543,1182,664,,,,,,
38,car,0.87,4,1161,500,1524,803,,,,,,
38,car,0.87,2,339,575,575,741,,,,,,
38,car,0.82,1,706,524,979,796,,,,,,
38,car,0.78,7,504,548,642,673,,,,,,
38,car,0.63,5,978,549,1067,640,,,,,,
38,car,0.38,3,631,558,678,640,,,,,,
38,car,0.32,3,659,528,710,568,,,,,,
38,license_plate,0.5,1,799,686,886,709,0.5,799,686,886,709,18645 KJJ
39,car,0.87,4,1172,504,1534,808,,,,,,
39,car,0.87,2,339,577,571,741,,,,,,
39,car,0.84,5,1034,542,1183,665,,,,,,
39,car,0.84,1,705,524,978,798,,,,,,
39,car,0.78,7,504,548,642,673,,,,,,
39,car,0.62,5,978,547,1064,642,,,,,,
39,car,0.4,3,632,558,676,639,,,,,,
39,car,0.37,9,1147,543,1216,701,,,,,,
39,car,0.33,3,658,529,708,568,,,,,,
39,license_plate,0.59,4,1347,681,1441,709,0.59,1347,681,1441,709,8242 LTC
39,license_plate,0.5,1,798,687,882,710,0.5,798,687,882,710,8645 KJJ
40,car,0.87,2,339,577,570,741,,,,,,
40,car,0.84,1,705,524,978,797,,,,,,
40,car,0.83,4,1169,504,1545,810,,,,,,
40,car,0.83,9,1035,545,1183,669,,,,,,
40,car,0.76,7,504,548,644,671,,,,,,
40,car,0.62,5,977,547,1065,640,,,,,,
40,car,0.43,3,625,556,675,642,,,,,,
40,car,0.41,3,657,528,709,569,,,,,,
40,car,0.31,9,1149,544,1221,704,,,,,,
41,car,0.86,2,341,577,572,741,,,,,,
41,car,0.82,1,706,522,978,799,,,,,,
41,car,0.81,4,1179,503,1557,816,,,,,,
41,car,0.77,9,1038,546,1190,672,,,,,,
41,car,0.71,7,507,550,644,671,,,,,,
41,car,0.66,5,980,549,1066,641,,,,,,
41,car,0.42,3,658,529,708,569,,,,,,
41,car,0.41,3,624,555,675,643,,,,,,
41,car,0.38,9,1151,548,1225,706,,,,,,
42,car,0.87,2,342,576,573,741,,,,,,
42,car,0.86,4,1174,500,1569,822,,,,,,
42,car,0.82,1,707,522,979,801,,,,,,
42,car,0.76,9,1040,551,1196,673,,,,,,
42,car,0.73,5,986,549,1074,643,,,,,,
42,car,0.7,7,509,553,642,674,,,,,,
42,car,0.46,3,622,556,674,643,,,,,,
42,car,0.4,3,658,529,707,568,,,,,,
42,car,0.28,3,622,555,675,615,,,,,,
42,car,0.27,6,538,516,586,548,,,,,,
42,license_plate,0.52,1,801,686,885,710,0.52,801,686,885,710,18645 KJJ
43,car,0.87,2,342,578,573,741,,,,,,
43,car,0.84,1,707,523,979,797,,,,,,
43,car,0.83,4,1190,498,1582,825,,,,,,
43,car,0.7,7,508,553,641,674,,,,,,
43,car,0.69,5,986,552,1071,644,,,,,,
43,car,0.69,9,1043,548,1194,676,,,,,,
43,car,0.45,3,658,531,708,571,,,,,,
43,car,0.44,3,621,555,673,645,,,,,,
43,car,0.35,9,1160,549,1234,711,,,,,,
44,car,0.87,2,340,578,571,741,,,,,,
44,car,0.86,1,704,522,976,797,,,,,,
44,car,0.81,4,1194,495,1591,832,,,,,,
44,car,0.73,7,504,553,646,673,,,,,,
44,car,0.69,9,1042,550,1194,674,,,,,,
44,car,0.67,5,986,552,1072,647,,,,,,
44,car,0.47,9,1160,550,1239,713,,,,,,
44,car,0.45,3,614,555,670,644,,,,,,
44,car,0.32,3,650,533,706,578,,,,,,
44,license_plate,0.56,4,1388,696,1488,725,0.56,1388,696,1488,725,8242 LYC
44,license_plate,0.48,1,794,689,882,714,0.48,794,689,882,714,8645 KJJ
45,car,0.85,2,335,580,565,742,,,,,,
45,car,0.82,1,699,523,971,797,,,,,,
45,car,0.74,4,1196,492,1599,836,,,,,,
45,car,0.74,7,502,553,641,673,,,,,,
45,car,0.73,9,1040,549,1195,679,,,,,,
45,car,0.68,5,983,552,1079,650,,,,,,
45,car,0.47,9,1159,550,1240,713,,,,,,
45,car,0.41,3,609,553,667,645,,,,,,
45,car,0.32,3,651,535,701,583,,,,,,
45,license_plate,0.57,4,1393,700,1496,730,0.57,1393,700,1496,730,8242 LYC
45,license_plate,0.53,1,792,687,882,712,0.53,792,687,882,712,8645 KJJ
46,car,0.86,4,1197,502,1611,844,,,,,,
46,car,0.85,2,331,581,559,744,,,,,,
46,car,0.82,1,696,524,968,799,,,,,,
46,car,0.81,7,495,555,631,675,,,,,,
46,car,0.74,5,1037,548,1193,685,,,,,,
46,car,0.63,5,979,556,1072,651,,,,,,
46,car,0.5,9,1158,554,1239,714,,,,,,
46,car,0.5,3,602,554,662,645,,,,,,
46,car,0.35,8,77,509,133,560,,,,,,
46,car,0.33,3,649,539,698,585,,,,,,
46,license_plate,0.62,4,1397,705,1506,736,0.62,1397,705,1506,736,8242 LYC
47,car,0.86,4,1200,502,1622,849,,,,,,
47,car,0.84,2,329,581,559,742,,,,,,
47,car,0.83,1,694,525,967,800,,,,,,
47,car,0.82,7,491,556,632,675,,,,,,
47,car,0.73,9,1038,548,1197,684,,,,,,
47,car,0.64,5,985,554,1074,652,,,,,,
47,car,0.55,9,1162,555,1240,723,,,,,,
47,car,0.45,3,600,557,660,646,,,,,,
47,car,0.39,8,73,509,131,560,,,,,,
47,car,0.34,3,600,553,659,614,,,,,,
47,car,0.34,3,646,538,697,582,,,,,,
47,license_plate,0.41,1,788,691,876,713,0.41,788,691,876,713,8645 KJJ
48,car,0.86,2,330,582,560,745,,,,,,
48,car,0.85,4,1214,502,1639,853,,,,,,
48,car,0.83,1,694,525,969,801,,,,,,
48,car,0.81,7,492,558,633,675,,,,,,
48,car,0.72,9,1041,551,1205,686,,,,,,
48,car,0.66,5,986,553,1079,654,,,,,,
48,car,0.61,9,1165,559,1247,722,,,,,,
48,car,0.48,3,603,555,660,644,,,,,,
48,car,0.44,8,72,514,131,562,,,,,,
48,car,0.39,3,601,550,660,616,,,,,,
48,car,0.34,3,649,538,698,581,,,,,,
49,car,0.85,2,330,582,563,745,,,,,,
49,car,0.83,1,696,525,970,802,,,,,,
49,car,0.82,4,1215,502,1653,859,,,,,,
49,car,0.8,5,986,552,1088,655,,,,,,
49,car,0.79,9,1047,551,1208,688,,,,,,
49,car,0.72,7,498,562,635,675,,,,,,
49,car,0.65,9,1172,554,1259,724,,,,,,
49,car,0.38,3,647,537,700,581,,,,,,
49,car,0.3,3,609,560,663,646,,,,,,
49,license_plate,0.45,1,790,691,881,714,0.45,790,691,881,714,8645 KJJ
50,car,0.85,2,332,583,565,746,,,,,,
50,car,0.85,4,1213,502,1670,866,,,,,,
50,car,0.83,1,698,528,970,803,,,,,,
50,car,0.83,5,989,552,1091,657,,,,,,
50,car,0.78,9,1050,552,1215,689,,,,,,
50,car,0.72,9,1177,554,1265,728,,,,,,
50,car,0.72,7,505,561,639,677,,,,,,
50,car,0.44,3,649,538,700,580,,,,,,
50,car,0.41,8,72,519,134,560,,,,,,
50,car,0.38,5,946,553,1012,632,,,,,,
50,car,0.35,3,606,558,665,647,,,,,,
50,car,0.3,3,604,554,665,602,,,,,,
50,license_plate,0.53,1,790,689,883,714,0.53,790,689,883,714,18645 KJJ
51,car,0.88,2,336,584,567,748,,,,,,
51,car,0.81,9,1054,550,1221,691,,,,,,
51,car,0.77,1,701,528,974,803,,,,,,
51,car,0.76,5,994,553,1093,660,,,,,,
51,car,0.75,4,1227,494,1688,873,,,,,,
51,car,0.69,7,503,562,638,675,,,,,,
51,car,0.64,9,1181,557,1274,734,,,,,,
51,car,0.44,3,651,539,702,582,,,,,,
51,car,0.38,8,55,521,133,563,,,,,,
51,car,0.35,3,606,558,667,649,,,,,,
51,car,0.28,5,947,553,1012,648,,,,,,
51,car,0.28,3,605,554,667,604,,,,,,
52,car,0.87,2,340,585,568,750,,,,,,
52,car,0.85,4,1235,500,1707,879,,,,,,
52,car,0.84,9,1059,552,1227,696,,,,,,
52,car,0.8,1,701,528,976,804,,,,,,
52,car,0.78,7,511,563,644,681,,,,,,
52,car,0.72,5,996,557,1099,664,,,,,,
52,car,0.71,9,1185,559,1286,739,,,,,,
52,car,0.47,8,60,527,133,562,,,,,,
52,car,0.42,3,654,541,700,579,,,,,,
52,car,0.37,3,617,566,666,649,,,,,,
52,license_plate,0.45,1,794,690,887,715,0.45,794,690,887,715,8645 KJJ
53,car,0.87,2,340,585,569,753,,,,,,
53,car,0.86,9,1060,554,1231,699,,,,,,
53,car,0.82,4,1238,500,1724,887,,,,,,
53,car,0.81,1,701,530,976,805,,,,,,
53,car,0.76,7,511,563,644,683,,,,,,
53,car,0.74,9,1192,558,1292,740,,,,,,
53,car,0.69,5,997,559,1099,667,,,,,,
53,car,0.46,3,652,540,700,581,,,,,,
53,car,0.38,3,613,563,665,652,,,,,,
53,car,0.32,5,951,554,1012,594,,,,,,
53,car,0.26,8,43,526,133,566,,,,,,
53,license_plate,0.53,4,1485,733,1603,767,0.53,1485,733,1603,767,8222 LIC
53,license_plate,0.43,1,794,691,881,718,0.43,794,691,881,718,8645 KJJ
54,car,0.87,2,336,585,567,755,,,,,,
54,car,0.84,1,700,529,974,806,,,,,,
54,car,0.82,9,1061,559,1230,699,,,,,,
54,car,0.82,4,1246,500,1739,895,,,,,,
54,car,0.73,10,1196,562,1293,744,,,,,,
